Usuarios Atendidos  y  Servicios Prestados,Cantidad,Semestre,Año
Masculino,15,julio-diciembre,2020
Femenino,25,julio-diciembre,2020
Investigadores ,40,julio-diciembre,2020
Grado,10,julio-diciembre,2020
Post-Grado,0,julio-diciembre,2020
Maestría,1,julio-diciembre,2020
Doctorado,0,julio-diciembre,2020
Otros,0,julio-diciembre,2020
Referencias a distancia,40,julio-diciembre,2020
Visitas guiadas,0,julio-diciembre,2020
Préstamos bibliográficos,117,julio-diciembre,2020
Préstamos Hemerográficos,69,julio-diciembre,2020
Consulta a base de datos a texto completo,1428,julio-diciembre,2020
Servicios de internet,0,julio-diciembre,2020
Estudio en sala de lectura,0,julio-diciembre,2020
Consulta al Catálogo en linea ,"11,297",julio-diciembre,2020
Usuarios atendidos con discapacidad ,1355,julio-diciembre,2020
Envío de libros en formatos accesibles  (DOC),29,julio-diciembre,2020
Envío de libros en formatos accesibles  (PDF  con OCR),12,julio-diciembre,2020
Envío de libros en formatos accesibles (audio),10,julio-diciembre,2020
"Envío de artículos y folletos en formatos accesibles  (DOC)
",28,julio-diciembre,2020
"Envío de artículos y folletos en formatos accesibles (PDF  con OCR)
",5,julio-diciembre,2020
Asesoría a usuarios para escoger libros a leer,108,julio-diciembre,2020
Asesoría en manejo de programas,26,julio-diciembre,2020
Corrección de textos en formatos accesibles para conversión según solicitud de usuarios,18,julio-diciembre,2020
Adaptación de libros corregidos a digital accesible y audio según solicitud de usuarios,20,julio-diciembre,2020
Conversión de libros corregidos a digital accesible y audio según solicitud de usuarios ,90,julio-diciembre,2020
Desarrollo contenidos para Blog USEPEDI ,32,julio-diciembre,2020
Actualización efemérides para Blog USEPEDI ,266,julio-diciembre,2020
"Descripción de imágenes (fotografías, ilustraciones, gráficos, otros) ",56,julio-diciembre,2020
Blog USEPEDI (visitas),14461,julio-diciembre,2020
Masculino,"1,194",enero-junio,2020
Femenino,1024,enero-junio,2020
Investigadores ,282,enero-junio,2020
Grado,265,enero-junio,2020
Post-Grado,5,enero-junio,2020
Maestría,24,enero-junio,2020
Doctorado,0,enero-junio,2020
Otros,27,enero-junio,2020
Referencias a distancia,12,enero-junio,2020
Visitas guiadas,29,enero-junio,2020
Préstamos bibliográficos,972,enero-junio,2020
Préstamos Hemerográficos,"9,734",enero-junio,2020
Consulta a base de datos a texto completo,203,enero-junio,2020
Sericios de internet,523,enero-junio,2020
Estudio en sala de lectura,"1,204",enero-junio,2020
Consulta al Catálogo en linea ,"27,356",enero-junio,2020
Usuarios atendidos con discapacidad ,386,enero-junio,2020
Envío de libros en formatos accesibles  (DOC),25,enero-junio,2020
Envío de libros en formatos accesibles  (PDF  con OCR),27,enero-junio,2020
Envío de libros en formatos accesibles (audio),16,enero-junio,2020
"Envío de artículos y folletos en formatos accesibles  (DOC)
",1,enero-junio,2020
"Envío de artículos y folletos en formatos accesibles (PDF  con OCR)
",7,enero-junio,2020
Asesoría a usuarios para escoger libros a leer,27,enero-junio,2020
Asesoría en manejo de programas,33,enero-junio,2020
Corrección de textos en formatos accesibles para conversión según solicitud de usuarios,45,enero-junio,2020
Adaptación de libros corregidos a digital accesible y audio según solicitud de usuarios,13,enero-junio,2020
Conversión de libros corregidos a digital accesible y audio según solicitud de usuarios ,38,enero-junio,2020
"Recursos de información accesibles (DOC, PDF con OCR,audio) para la Biblioteca Virtual Accesible ""Lily Cassa""",12,enero-junio,2020
"Recursos de información accesibles (DOC, PDF con OCR,audio) para la plataforma del servicio mundial de libros accesibles OMPI ",207,enero-junio,2020
Desarrollo contenidos para Blog USEPEDI ,6,enero-junio,2020
Actualización efemérides para Blog USEPEDI ,254,enero-junio,2020
"Descripción de imágenes (fotografías, ilustraciones, gráficos, otros) ",74,enero-junio,2020
Blog USEPEDI (visitas),1619,enero-junio,2020
Masculino,3263,julio-diciembre,2019
Femenino,1840,julio-diciembre,2019
Investigadores ,641,julio-diciembre,2019
Grado,517,julio-diciembre,2019
Post-Grado,9,julio-diciembre,2019
Maestría,24,julio-diciembre,2019
Doctorado,9,julio-diciembre,2019
Otros,21,julio-diciembre,2019
Referencias a distancia,10,julio-diciembre,2019
Visitas guiadas,528,julio-diciembre,2019
Préstamos bibliográficos,1757,julio-diciembre,2019
Préstamos Hemerográficos,"27,359",julio-diciembre,2019
Consulta a base de datos a texto completo,1122,julio-diciembre,2019
Sericios de internet,1573,julio-diciembre,2019
Estudio en sala de lectura,"1,475",julio-diciembre,2019
Consulta al Catálogo en linea ,"35,469",julio-diciembre,2019
Usuarios atendidos con discapacidad ,975,julio-diciembre,2019
Envío de libros en formatos accesibles  (DOC),140,julio-diciembre,2019
"Envío de artículos y folletos en formatos accesibles  (DOC)
",25,julio-diciembre,2019
Asesoría a usuarios para escoger libros a leer,52,julio-diciembre,2019
Asesoría en manejo de programas,25,julio-diciembre,2019
Corrección de textos en formatos accesibles para conversión según solicitud de usuarios,30,julio-diciembre,2019
Adaptación de libros corregidos a digital accesible y audio según solicitud de usuarios,52,julio-diciembre,2019
Conversión de libros corregidos a digital accesible y audio según solicitud de usuarios ,83,julio-diciembre,2019
"Recursos de información accesibles (DOC, PDF con OCR,audio) para la Biblioteca Virtual Accesible ""Lily Cassa""",14,julio-diciembre,2019
Desarrollo contenidos para Blog USEPEDI ,19,julio-diciembre,2019
Actualización efemérides para Blog USEPEDI ,256,julio-diciembre,2019
"Descripción de imágenes (fotografías, ilustraciones, gráficos, otros) ",32,julio-diciembre,2019
Blog USEPEDI (visitas),2087,julio-diciembre,2019
Masculino,2446,Enero-junio,2019
Femenino,1968,Enero-junio,2019
Investigadores ,533,Enero-junio,2019
Grado,959,Enero-junio,2019
Post-Grado,6,Enero-junio,2019
Maestría,16,Enero-junio,2019
Doctorado,9,Enero-junio,2019
Otros,15,Enero-junio,2019
Referencias a distancia,9,Enero-junio,2019
Visitas guiadas,458,Enero-junio,2019
Préstamos bibliográficos,3025,Enero-junio,2019
Préstamos Hemerográficos,"16,605",Enero-junio,2019
Consulta a base de datos a texto completo,18,Enero-junio,2019
Sericios de internet,1460,Enero-junio,2019
Estudio en sala de lectura,"3,911",Enero-junio,2019
Consulta al Catálogo en linea ,"17,376",Enero-junio,2019
Usuarios atendidos con discapacidad ,2470,Enero-junio,2019
Envío de libros en formatos accesibles  (DOC),610,Enero-junio,2019
Envío de articulos y folletos en formatos accesibles (DOC),651,Enero-junio,2019
Asesoría a usuarios para escoger libros a leer,28,Enero-junio,2019
Asesoría en manejo de programas,12,Enero-junio,2019
Corrección de textos en formatos accesibles para conversión según solicitud de usuarios,54,Enero-junio,2019
Adaptación de libros corregidos a digital accesible y audio según solicitud de usuarios,73,Enero-junio,2019
Conversión de libros corregidos a digital accesible y audio según solicitud de usuarios ,67,Enero-junio,2019
Desarrollo contenidos para Blog USEPEDI ,16,Enero-junio,2019
Actualización efemérides para Blog USEPEDI ,191,Enero-junio,2019
Blog USEPEDI (visitas),2262,Enero-junio,2019
Masculino,2702,Julio-diciembre,2018
Femenino,1917,Julio-diciembre,2018
Investigadores ,508,Julio-diciembre,2018
Grado,617,Julio-diciembre,2018
Post-Grado,14,Julio-diciembre,2018
Maestría,23,Julio-diciembre,2018
Doctorado,33,Julio-diciembre,2018
Otros,54,Julio-diciembre,2018
Referencias a distancia,44,Julio-diciembre,2018
Visitas guiadas,53,Julio-diciembre,2018
Préstamos bibliográficos,1756,Julio-diciembre,2018
Préstamos Hemerográficos,"30,005",Julio-diciembre,2018
Consulta a base de datos a texto completo,12,Julio-diciembre,2018
Sericios de internet,"1,734",Julio-diciembre,2018
Estudio en sala de lectura,"3,959",Julio-diciembre,2018
Consulta al Catálogo en linea ,"7,823",Julio-diciembre,2018
Usuarios atendidos con discapacidad ,2328,Julio-diciembre,2018
Envío de libros en formatos accesibles  (DOC),466,Julio-diciembre,2018
Envio de artículos y folletos en formatos accesibles (DOC),"2,220",Julio-diciembre,2018
Asesoría a usuarios para escoger libros a leer,46,Julio-diciembre,2018
Asesoría en manejo de programas,37,Julio-diciembre,2018
Corrección de textos en formatos accesibles para conversión según solicitud de usuarios,33,Julio-diciembre,2018
Adaptación de libros corregidos a digital accesible y audio según solicitud de usuarios,99,Julio-diciembre,2018
Conversión de libros corregidos a digital accesible y audio según solicitud de ususarios ,76,Julio-diciembre,2018
Desarrollo contenidos para Blog USEPEDI ,20,Julio-diciembre,2018
Actualización efemérides para Blog USEPEDI ,153,Julio-diciembre,2018
"Descripción de imágenes (fotografías, ilustraciones, gráficos, otros) ",24,Julio-diciembre,2018
Blog USEPEDI (visitas),"2,277",Julio-diciembre,2018
Masculino,2505,Enero-junio,2018
Femenino,2042,Enero-junio,2018
Investigadores ,542,Enero-junio,2018
Grado,851,Enero-junio,2018
Post-Grado,34,Enero-junio,2018
Maestría,23,Enero-junio,2018
Doctorado,11,Enero-junio,2018
Otros,42,Enero-junio,2018
Referencias a distancia,5,Enero-junio,2018
Visitas guiadas,38,Enero-junio,2018
Préstamos bibliográficos,1859,Enero-junio,2018
Préstamos Hemerográficos,"18,633",Enero-junio,2018
Consulta a base de datos a texto completo,0,Enero-junio,2018
Sericios de internet,1617,Enero-junio,2018
Estudio en sala de lectura,"3,555",Enero-junio,2018
Consulta al Catálogo en linea ,"9,166",Enero-junio,2018
Usuarios atendidos con discapacidad ,1545,Enero-junio,2018
Envío de libros en formatos accesibles  (DOC),560,Enero-junio,2018
Asesoría a usuarios para escoger libros a leer,44,Enero-junio,2018
Asesoría en manejo de programas,19,Enero-junio,2018
Corrección de textos en formatos accesibles para conversión según solicitud de usuarios,22,Enero-junio,2018
Adaptación de libros corregidos a digital accesible y audio según solicitud de usuarios,46,Enero-junio,2018
Conversión de libros corregidos a digital accesible y audio según solicitud de usuarios ,5,Enero-junio,2018
Desarrollo contenidos para Blog USEPEDI ,77,Enero-junio,2018
Actualización efemérides para Blog USEPEDI ,140,Enero-junio,2018
"Descripción de imágenes (fotografías, ilustraciones, gráficos, otros) ",35,Enero-junio,2018
Blog USEPEDI (visitas),2158,Enero-junio,2018
